State,Commuting Zone ID,School Expenditure per Student,Teacher Student Ratio,Test Score Percentile,High School Dropout Rate
OK,33801,5.11,14.1,1.21,0.01
OK,33802,4.687,15.5,-1.913,-0.007
OK,33803,4.687,17,-3.512,0.018
OK,33901,5.012,15.2,-3.446,0.008
TX,33902,5.715,14.8,8.063,-0.01
AR,34001,4.738,17.1,-1.747,0.002
OK,34002,4.887,15.6,-1.466,0
AK,34101,,12.2,,
AK,34102,8.706,20,-5.599,0.044
AK,34103,10.053,16.5,-0.438,-0.004
AK,34104,11.36,20.7,,
AK,34105,,17.9,-25.289,0.095
AK,34106,,14.2,-30.813,0.017
AK,34107,,14.1,-28.735,0.109
AK,34108,8.42,20.3,-1.741,0.007
AK,34109,9.217,27.7,-4.643,0.036
AK,34110,8.366,17.1,5.428,0.004
AK,34111,8.46,18.5,-6.395,0.042
AK,34112,,14.2,-32.785,0.072
AK,34113,,14.8,-25.019,0.098
AK,34114,,16.7,,
